fault_id,source_name,fault_no,event_date,trip_datetime,event_date_key,trip_time_key,location_primary,locations_all,apparatus_concat,comments_concat,text_corpus,system_type,substation_area,weather,reporter,voltage_level_kv,voltage_levels_all,row_count,unique_apparatus_count,max_downtime_hours,mean_downtime_hours,min_reclose_delay_hours,max_reclose_delay_hours,any_reclosed_clock,any_reclosed_arc,has_comments,mixed_operational_labels,row_operational_labels,stage1_operational_label,stage1_binary_label,is_chrono_anomaly,anomaly_reason,event_hour,event_weekday,event_month,season,mentions_overcurrent,mentions_earth_fault,mentions_phase,mentions_three_phase,mentions_buchholz,mentions_diff,mentions_voltage_issue,mentions_trip_failure
system::008/23::2023-01-07::17:40,system,008/23,2023-01-07,2023-01-07 17:40:00,2023-01-07,17:40,Samochima,Samochima,Samochima - Makoba 132 line CB 305,Tripped due to unavailability of 110V DC supply,tripped due to unavailability of 110v dc supply samochima - makoba 132 line cb 305,Transmission,North/South,clear,mosala,132.0,132,1,1,6.6,6.6,6.6,6.6,True,False,True,False,permanent,permanent,Permanent,False,,17,5,1,summer,0,0,0,0,0,0,0,0
system::009/23::2023-01-09::16:04,system,009/23,2023-01-09,2023-01-09 16:04:00,2023-01-09,16:04,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Master trip, DTTS, DTTR, PS L1","master trip, dtts, dttr, ps l1 phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,sekgatlhola,400.0,400,1,1,0.35,0.35,0.35,0.35,True,False,True,False,sustained,sustained,Non-permanent,False,,16,0,1,summer,0,0,0,0,0,0,0,0
system::010/21::2023-01-14::02:14,system,010/21,2023-01-14,2023-01-14 02:14:00,2023-01-14,02:14,Morupule A,Morupule A,Morupule A Unit 4 220 CB G40 tripped,"Loss of Flame, Generation dropped from 18MW to 0MW","loss of flame, generation dropped from 18mw to 0mw morupule a unit 4 220 cb g40 tripped",Transmission,Central,clear,keditlwaetse,220.0,220,1,1,7.567,7.567,7.566666666666666,7.566666666666666,True,False,True,False,permanent,permanent,Permanent,False,,2,5,1,summer,0,0,0,0,0,0,0,0
system::011/23::2023-01-15::12:42,system,011/23,2023-01-15,2023-01-15 12:42:00,2023-01-15,12:42,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main A & B Master trip, DTTS, DTTR","main a & b master trip, dtts, dttr phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,scada,400.0,400,1,1,0.067,0.067,0.0666666666666666,0.0666666666666666,True,False,True,False,transient,transient,Non-permanent,False,,12,6,1,summer,0,0,0,0,0,0,0,0
system::112/23::2023-01-17::17:52,system,112/23,2023-01-17,2023-01-17 17:52:00,2023-01-17,17:52,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main A: Master trip, DTTS, DTTR","main a: master trip, dtts, dttr phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,miti,400.0,400,1,1,0.7,0.7,0.7,0.7,True,False,True,False,permanent,permanent,Permanent,False,,17,1,1,summer,0,0,0,0,0,0,0,0
system::113/23::2023-01-17::18:46,system,113/23,2023-01-17,2023-01-17 18:46:00,2023-01-17,18:46,Woodhall,Woodhall,Woodhall 132/11 Transformer 1A: LV CB 1HO,,woodhall 132/11 transformer 1a: lv cb 1ho,Distribution,Central,cloudy,ramacha,11.0,11,1,1,4.717,4.717,4.716666666666667,4.716666666666667,True,False,False,False,permanent,permanent,Permanent,False,,18,1,1,summer,0,0,0,0,0,0,0,0
system::015/23::2023-01-26::08:31,system,015/23,2023-01-26,2023-01-26 08:31:00,2023-01-26,08:31,Morupule A,Morupule A,Morupule A Unit 4 220 CB G40 tripped,Generator reverse power trip,generator reverse power trip morupule a unit 4 220 cb g40 tripped,Transmission,Central,clear,dick,220.0,220,1,1,4.833,4.833,4.833333333333333,4.833333333333333,True,False,True,False,permanent,permanent,Permanent,False,,8,3,1,summer,0,0,0,0,0,0,0,0
system::116/23::2023-01-26::10:34,system,116/23,2023-01-26,2023-01-26 10:34:00,2023-01-26,10:34,Phokoje,Phokoje,Phokoje - 400/220 TRF 2: HV CB 2H0,Buchholz trip due to valve issue during maintenance,buchholz trip due to valve issue during maintenance phokoje - 400/220 trf 2: hv cb 2h0,Transmission,Central,clear,miti,400.0,400,1,1,4.183,4.183,4.183333333333334,4.183333333333334,True,False,True,False,permanent,permanent,Permanent,False,,10,3,1,summer,0,0,0,0,1,0,0,0
system::016/23::2023-01-29::22:34,system,016/23,2023-01-29,2023-01-29 22:34:00,2023-01-29,22:34,Orapa,Orapa,Orapa 1 220/33 Transformer 1: HV CB H10,MASTER TRIP,master trip orapa 1 220/33 transformer 1: hv cb h10,Transmission,Central,rainy/stormy,scada,220.0,220,1,1,1.95,1.95,1.95,1.95,True,False,True,False,permanent,permanent,Permanent,False,,22,6,1,summer,0,0,0,0,0,0,0,0
system::016/23::2023-01-29::22:38,system,016/23,2023-01-29,2023-01-29 22:38:00,2023-01-29,22:38,Orapa,Orapa,Orapa 1 220/33 Transformer 2: LV CB H10,"33 OVERVOLTAGE TRIP, Winding Temp Alarm & Trip Low set, Master trip","33 overvoltage trip, winding temp alarm & trip low set, master trip orapa 1 220/33 transformer 2: lv cb h10",Distribution,Central,rainy/stormy,mmusi,33.0,33,1,1,0.85,0.85,0.7833333333333333,0.7833333333333333,True,False,True,False,permanent,permanent,Permanent,False,,22,6,1,summer,0,0,0,0,1,0,1,0
system::017/23::2023-01-30::07:23,system,017/23,2023-01-30,2023-01-30 07:23:00,2023-01-30,07:23,S/Phikwe,S/Phikwe,S/Phikwe 66 Bus Section CB 120,Bus Zone A+B trip,bus zone a+b trip s/phikwe 66 bus section cb 120,Sub-Transmission,South,rainy/stormy,miti,66.0,66,1,1,1.767,1.767,1.7666666666666666,1.7666666666666666,True,False,True,False,permanent,permanent,Permanent,False,,7,0,1,summer,0,0,0,0,0,0,0,0
system::019/23::2023-01-31::09:18,system,019/23,2023-01-31,2023-01-31 09:18:00,2023-01-31,09:18,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Power Swing, Master trip, DTTS, DTTR","power swing, master trip, dtts, dttr phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,miti,400.0,400,1,1,4.183,4.183,4.183333333333334,4.183333333333334,True,False,True,False,permanent,permanent,Permanent,False,,9,1,1,summer,0,0,0,0,0,0,0,0
system::020/23::2023-01-31::13:38,system,020/23,2023-01-31,2023-01-31 13:38:00,2023-01-31,13:38,Fancistown,Fancistown,Francistown - Dukwe 132 Line CB 205,Load loss to Sowa Mine,load loss to sowa mine francistown - dukwe 132 line cb 205,Transmission,North,rainy/stormy,garebatho,132.0,132,1,1,0.067,0.067,0.0666666666666666,0.0666666666666666,True,False,True,False,transient,transient,Non-permanent,False,,13,1,1,summer,0,0,0,0,0,0,0,0
system::021/23::2023-01-31::17:56,system,021/23,2023-01-31,2023-01-31 17:56:00,2023-01-31,17:56,Makoba,Makoba,Makoba- Samochima 132 line CB 105,"General trip, Impedance Zone 1, Bus CB Fail","general trip, impedance zone 1, bus cb fail makoba- samochima 132 line cb 105",Transmission,North West,clear,scada,132.0,132,1,1,1.4,1.4,1.4,1.4,True,False,True,False,permanent,permanent,Permanent,False,,17,1,1,summer,0,0,0,0,0,0,0,0
system::028/23::2023-02-05::00:53,system,028/23,2023-02-05,2023-02-05 00:53:00,2023-02-05,00:53,Motheo Mine,Motheo Mine,Motheo Mine 132/11 T1: HV CB 110,"Master Trip(A), TCSR(M), TCSR(Bu), TOP, CAR 3 & CAR 4","master trip(a), tcsr(m), tcsr(bu), top, car 3 & car 4 motheo mine 132/11 t1: hv cb 110",Transmission,North West,clear,miti,132.0,132,1,1,17.8,17.8,17.8,17.8,True,False,True,False,permanent,permanent,Permanent,False,,0,6,2,summer,0,0,0,0,0,0,0,0
system::028/23::2023-02-05::13:00,system,028/23,2023-02-05,2023-02-05 13:00:00,2023-02-05,13:00,Phokoje,Phokoje,Phokoje - 400/220 TRF 2: HV CB 2H0,"Master Trip(A), TCSR(M), TCSR(Bu), TOP, CAR 3 & CAR 4","master trip(a), tcsr(m), tcsr(bu), top, car 3 & car 4 phokoje - 400/220 trf 2: hv cb 2h0",Transmission,Central,clear,miti,400.0,400,1,1,5.683,5.683,5.683333333333334,5.683333333333334,True,False,True,False,permanent,permanent,Permanent,False,,13,6,2,summer,0,0,0,0,0,0,0,0
system::030/23::2023-02-07::10:23,system,030/23,2023-02-07,2023-02-07 10:23:00,2023-02-07,10:23,Morupule A,Morupule A,Morupule A Unit 3 tripped,"Unit trip, restoration after investigation","unit trip, restoration after investigation morupule a unit 3 tripped",Transmission,Central,clear,gabatshamekwe,220.0,220,1,1,6.15,6.15,6.15,6.15,True,False,True,False,permanent,permanent,Permanent,False,,10,1,2,summer,0,0,0,0,0,0,0,0
system::031/23::2023-02-07::14:34,system,031/23,2023-02-07,2023-02-07 14:34:00,2023-02-07,14:34,Thamaga,Thamaga,Thamaga - Jwaneng 2 132 Line CB 505,"Zone 1 Impedance trip, 1-phase trip + ARC, fault at 64.2km","zone 1 impedance trip, 1-phase trip + arc, fault at 64.2km thamaga - jwaneng 2 132 line cb 505",Transmission,South,rainy/stormy,scada,132.0,132,1,1,0.0,0.0,,,False,True,True,False,transient,transient,Non-permanent,False,,14,1,2,summer,0,0,1,0,0,0,0,0
system::034/23::2023-02-08::18:03,system,034/23,2023-02-08,2023-02-08 18:03:00,2023-02-08,18:03,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main A & B Master trip, DTTS, DTTR, PS L1","main a & b master trip, dtts, dttr, ps l1 phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,sekgatlhola,400.0,400,1,1,0.183,0.183,0.1833333333333333,0.1833333333333333,True,False,True,False,sustained,sustained,Non-permanent,False,,18,2,2,summer,0,0,0,0,0,0,0,0
system::036/23::2023-02-09::15:53,system,036/23,2023-02-09,2023-02-09 15:53:00,2023-02-09,15:53,Orapa,Orapa,Orapa 2 GEN Tx 1: LV CB 01BAT10,DIFF protection operated,diff protection operated orapa 2 gen tx 1: lv cb 01bat10,Distribution,North,clear,batleng,11.0,11,1,1,1.2,1.2,0.8666666666666667,0.8666666666666667,True,False,True,False,permanent,permanent,Permanent,False,,15,3,2,summer,0,0,0,0,0,1,0,0
system::037/23::2023-02-09::00:00,system,037/23,2023-02-09,2023-02-09 00:00:00,2023-02-09,00:00,Morupule,Morupule,MORPB - MORPA 400/220 Intertie Tx HV CB 1TO,"F1 & F2 Current Diff Prot, Multi-Terminal Relay trip, UV, lockout","f1 & f2 current diff prot, multi-terminal relay trip, uv, lockout morpb - morpa 400/220 intertie tx hv cb 1to",Transmission,Central,rainy/stormy,moalosi,400.0,400,1,1,0.0,0.0,,,False,True,True,False,transient,transient,Non-permanent,False,,0,3,2,summer,0,0,0,0,0,1,0,0
system::040/23::2023-02-13::20:35,system,040/23,2023-02-13,2023-02-13 20:35:00,2023-02-13,20:35,Mawana,Mawana,Mmakgodumo - Kanye 132 line CB 305,"I/T send, Current diff and OC/EF","i/t send, current diff and oc/ef mmakgodumo - kanye 132 line cb 305",Transmission,South,rainy/stormy,baoki,132.0,132,1,1,1.883,1.883,1.8833333333333333,1.8833333333333333,True,False,True,False,permanent,permanent,Permanent,False,,20,0,2,summer,0,0,0,0,0,1,0,0
system::041/23::2023-02-14::15:35,system,041/23,2023-02-14,2023-02-14 15:35:00,2023-02-14,15:35,Ghanzi,Ghanzi,Ghanzi 132/11 Transformer 1 HV CB 110B,"No indications, control issue suspected","no indications, control issue suspected ghanzi 132/11 transformer 1 hv cb 110b",Transmission,North,rainy/stormy,kahona,132.0,132,1,1,1.167,1.167,1.1666666666666667,1.1666666666666667,True,False,True,False,permanent,permanent,Permanent,False,,15,1,2,summer,0,0,0,0,0,0,0,0
system::045/23::2023-02-16::00:20,system,045/23,2023-02-16,2023-02-16 00:20:00,2023-02-16,00:20,Rakola,Rakola,Rakola - Molepolole 132 Line CB 205,"SOTF, W & B Phase Imp E/F","sotf, w & b phase imp e/f rakola - molepolole 132 line cb 205",Transmission,South,rainy/stormy,scada,132.0,132,1,1,2.533,2.533,2.533333333333333,2.533333333333333,True,False,True,False,permanent,permanent,Permanent,False,,0,3,2,summer,0,1,1,0,0,0,0,0
system::048/23::2023-02-16::05:06,system,048/23,2023-02-16,2023-02-16 05:06:00,2023-02-16,05:06,Segoditshane,Segoditshane,Segoditshane - Rakola 132 line CB L25,"DTTR I/T S/R trip, 3-phase trip+L/O","dttr i/t s/r trip, 3-phase trip+l/o segoditshane - rakola 132 line cb l25",Transmission,South,rainy/stormy,scada,132.0,132,1,1,0.817,0.817,0.8166666666666667,0.8166666666666667,True,False,True,False,permanent,permanent,Permanent,False,,5,3,2,summer,0,0,1,0,0,0,0,0
system::049/23::2023-02-16::15:01,system,049/23,2023-02-16,2023-02-16 15:01:00,2023-02-16,15:01,Fancistown,Fancistown,F/town - Dukwe 132 line CB 205,"Zm1-Zm3, PST, PSW, PSN, CRZ, CSZ; Distance to fault: 81.4km","zm1-zm3, pst, psw, psn, crz, csz; distance to fault: 81.4km f/town - dukwe 132 line cb 205",Transmission,South,rainy/stormy,scada,132.0,132,1,1,0.033,0.033,0.0333333333333333,0.0333333333333333,True,False,True,False,transient,transient,Non-permanent,False,,15,3,2,summer,0,0,0,0,0,0,0,0
system::051/23::2023-02-17::23:31,system,051/23,2023-02-17,2023-02-17 23:31:00,2023-02-17,23:31,Fancistown West,Fancistown West,FWST 132/11 T1A & T2A: 11 CBs 1HOA & 2HOA,Earth Fault (E/F) protection trip,earth fault (e/f) protection trip fwst 132/11 t1a & t2a: 11 cbs 1hoa & 2hoa,Distribution,North,cloudy,serema,11.0,11,1,1,0.817,0.817,0.8166666666666667,0.8166666666666667,True,False,True,False,permanent,permanent,Permanent,False,,23,4,2,summer,0,1,0,0,0,0,0,0
system::050/23::2023-02-18::20:24,system,050/23,2023-02-18,2023-02-18 20:24:00,2023-02-18,20:24,Fancistown,Fancistown,Dukwe - F/town 132 line CB 505,"48V DC mains fail, short outage, auto-reclose","48v dc mains fail, short outage, auto-reclose dukwe - f/town 132 line cb 505",Transmission,North,rainy/stormy,sere,132.0,132,1,1,0.167,0.167,0.1666666666666666,0.1666666666666666,True,False,True,False,sustained,sustained,Non-permanent,False,,20,5,2,summer,0,0,0,0,0,0,0,0
system::052/23::2023-02-18::01:40,system,052/23,2023-02-18,2023-02-18 01:40:00,2023-02-18,01:40,Fancistown West,Fancistown West,FWST 132/11 T1A & T2A: 11 CBs 1HOA & 2HOA,Earth Fault (E/F) protection trip recurrence,earth fault (e/f) protection trip recurrence fwst 132/11 t1a & t2a: 11 cbs 1hoa & 2hoa,Distribution,North,cloudy,serema,11.0,11,1,1,1.4,1.4,1.0666666666666669,1.0666666666666669,True,False,True,False,permanent,permanent,Permanent,False,,1,5,2,summer,0,1,0,0,0,0,0,0
system::055/23::2023-02-18::22:45,system,055/23,2023-02-18,2023-02-18 22:45:00,2023-02-18,22:45,Segoditshane,Segoditshane,Segs - Dwaarsberg 132 Line CB 905,"1-phase trip + ARC, no restoration","1-phase trip + arc, no restoration segs - dwaarsberg 132 line cb 905",Transmission,South,cloudy,scada,132.0,132,1,1,0.0,0.0,0.0,0.0,True,False,True,False,transient,transient,Non-permanent,False,,22,5,2,summer,0,0,1,0,0,0,0,1
system::056/23::2023-02-19::00:09,system,056/23,2023-02-19,2023-02-19 00:09:00,2023-02-19,00:09,Segoditshane,Segoditshane,Segs - Dwaarsberg 132 Line CB 905,3-phase trip + L/O,3-phase trip + l/o segs - dwaarsberg 132 line cb 905,Transmission,South,cloudy,scada,132.0,132,1,1,0.783,0.783,0.7833333333333333,0.7833333333333333,True,False,True,False,permanent,permanent,Permanent,False,,0,6,2,summer,0,0,1,0,0,0,0,0
system::059/23::2023-02-20::14:37,system,059/23,2023-02-20,2023-02-20 14:37:00,2023-02-20,14:37,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Under Frequency, Main A: Master trip, DTTS, DTTR, PSL1-3","under frequency, main a: master trip, dtts, dttr, psl1-3 phokoje - insukamini 400 line cb 2l5",Transmission,North,rainy/stormy,scada,400.0,400,1,1,0.133,0.133,0.1333333333333333,0.1333333333333333,True,False,True,False,sustained,sustained,Non-permanent,False,,14,0,2,summer,0,0,0,0,0,0,1,0
system::060/23::2023-02-20::15:30,system,060/23,2023-02-20,2023-02-20 15:30:00,2023-02-20,15:30,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Master trip, no restoration indication likely ARC","master trip, no restoration indication likely arc phokoje - insukamini 400 line cb 2l5",Transmission,North,rainy/stormy,scada,400.0,400,1,1,0.0,0.0,,,False,True,True,False,transient,transient,Non-permanent,False,,15,0,2,summer,0,0,0,0,0,0,0,1
system::061/23::2023-02-21::21:52,system,061/23,2023-02-21,2023-02-21 21:52:00,2023-02-21,21:52,Thamaga,Thamaga,Thamaga - Rakola 220 line CB L45,"DIFF trip, 3-phase trip+L/O","diff trip, 3-phase trip+l/o thamaga - rakola 220 line cb l45",Transmission,South,clear,scada,220.0,220,1,1,0.033,0.033,0.0333333333333333,0.0333333333333333,True,False,True,False,transient,transient,Non-permanent,False,,21,1,2,summer,0,0,1,0,0,1,0,0
system::063/23::2023-02-24::18:05,system,063/23,2023-02-24,2023-02-24 18:05:00,2023-02-24,18:05,Phokoje,Phokoje,Phokoje - Insukamini 400 line CB 2L5,"Main B power swing, DIR Trans Receive, Master Trip, Protection Trip","main b power swing, dir trans receive, master trip, protection trip phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,scada,400.0,400,1,1,0.083,0.083,0.0833333333333333,0.0833333333333333,True,False,True,False,transient,transient,Non-permanent,False,,18,4,2,summer,0,0,0,0,0,0,0,0
system::079/23::2023-03-03::18:03,system,079/23,2023-03-03,2023-03-03 18:03:00,2023-03-03,18:03,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main A & B Master trip, DTTS, DTTR, PS L1","main a & b master trip, dtts, dttr, ps l1 phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,sekgatlhola,400.0,400,1,1,0.183,0.183,0.1833333333333333,0.1833333333333333,True,False,True,False,sustained,sustained,Non-permanent,False,,18,4,3,autumn,0,0,0,0,0,0,0,0
system::082/23::2023-03-07::15:47,system,082/23,2023-03-07,2023-03-07 15:47:00,2023-03-07,15:47,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Master trip, DTTS, DTTR, PS L1, Distance to fault: 56.2km","master trip, dtts, dttr, ps l1, distance to fault: 56.2km phokoje - insukamini 400 line cb 2l5",Transmission,Central,rainy/stormy,scada,400.0,400,1,1,0.6,0.6,0.6,0.6,True,False,True,False,permanent,permanent,Permanent,False,,15,1,3,autumn,0,0,0,0,0,0,0,0
system::083/23::2023-03-09::16:15,system,083/23,2023-03-09,2023-03-09 16:15:00,2023-03-09,16:15,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main A: Master trip, DTTS, DTTR, PS L1","main a: master trip, dtts, dttr, ps l1 phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,scada,400.0,400,1,1,0.167,0.167,0.1666666666666666,0.1666666666666666,True,False,True,False,sustained,sustained,Non-permanent,False,,16,3,3,autumn,0,0,0,0,0,0,0,0
system::084/23::2023-03-10::14:45,system,084/23,2023-03-10,2023-03-10 14:45:00,2023-03-10,14:45,Phokoje,Phokoje,Phokoje - Insukamini 400 Line CB 2L5,"Main B: Master trip, DTTS, DTTR, PS L1","main b: master trip, dtts, dttr, ps l1 phokoje - insukamini 400 line cb 2l5",Transmission,Central,clear,scada,400.0,400,1,1,0.117,0.117,0.1166666666666666,0.1166666666666666,True,False,True,False,sustained,sustained,Non-permanent,False,,14,4,3,autumn,0,0,0,0,0,0,0,0
system::076/23::2023-03-14::16:09,system,076/23,2023-03-14,2023-03-14 16:09:00,2023-03-14,16:09,Thamaga,Thamaga,Thamaga - Rakola 220 line CB L45,"DIFF trip, 3-phase trip + L/O","diff trip, 3-phase trip + l/o thamaga - rakola 220 line cb l45",Transmission,South,clear,scada,220.0,220,1,1,0.183,0.183,0.1833333333333333,0.1833333333333333,True,False,True,False,sustained,sustained,Non-permanent,False,,16,1,3,autumn,0,0,1,0,0,1,0,0
system::078/23::2023-03-14::13:52,system,078/23,2023-03-14,2023-03-14 13:52:00,2023-03-14,13:52,Boteti,Boteti,BDHT 132/11 Transformer 3 & Bus Section,"Buchholz trip, Oil surge, internal fault suspected","buchholz trip, oil surge, internal fault suspected bdht 132/11 transformer 3 & bus section",Distribution,Central,rainy/stormy,boteti,11.0,11,1,1,0.73,0.73,0.7333333333333333,0.7333333333333333,True,False,True,False,permanent,permanent,Permanent,False,,13,1,3,autumn,0,0,0,0,1,0,0,0
system::082/23::2023-03-15::16:16,system,082/23,2023-03-15,2023-03-15 16:16:00,2023-03-15,16:16,Ramotswa,Ramotswa,Ramotswa - Woodhall 132 Line CB 105,"BU protection Relay: lockout trip, TCS unhealthy, 87L trip, fault at 3.8km","bu protection relay: lockout trip, tcs unhealthy, 87l trip, fault at 3.8km ramotswa - woodhall 132 line cb 105",Transmission,South,cloudy,ramacha,132.0,132,1,1,1.27,1.27,1.2666666666666666,1.2666666666666666,True,False,True,False,permanent,permanent,Permanent,False,,16,2,3,autumn,0,0,0,0,0,0,0,0
